affecting	1.75	3.41
affection	2.22	3.93
affectionate	2.28	3.36
affectionately	1.92	2.8
affective	1.52	1.99
affectively	1.73	1.29
affectivity	1.86	1.29
affidavit	4.0	3.3
affiliate	2.5	2.5
affiliation	1.93	2.71
affirm	1.96	2.55
affirmable	2.0	1.29
affirmation	2.12	2.74
affirmative	1.93	3.68
affirmatively	2.17	1.89
affirmer	2.76	1.29
affix	2.44	2.14
affixation	2.29	1.29
afflict	2.14	1.99
afflicted	2.43	3.11
afflicting	2.41	2.14
affliction	2.27	3.08
affluence	2.15	2.2
affluent	1.83	2.5
affluently	1.69	1.29
afford	1.83	4.65
affordability	1.93	1.59
affordable	2.1	2.82
affront	1.83	2.78
affronted	2.04	1.77
afghan	4.5	2.77
aficionado	2.55	2.37
aflame	3.77	2.55
afloat	3.34	3.23
aflutter	2.54	1.99
afoot	2.48	3.02
afore	1.82	2.59
aforementioned	1.93	2.69
afraid	2.7	5.39
afro	4.52	3.06
after	2.12	5.83
afterbirth	4.57	2.07
afterburner	3.65	1.77
aftercare	3.15	2.07
aftereffect	2.5	1.89
afterglow	3.1	2.52
afterhours	3.15	1.29
afterlife	1.9	3.21
aftermarket	3.58	1.77
aftermath	1.97	3.02
aftermost	1.75	1.29
afternoon	3.7	4.96
afternoons	2.86	3.3
afterparty	3.81	1.29
aftersale	2.71	1.29
afterschool	3.19	2.07
aftershave	4.56	3.04
aftershock	3.68	2.41
aftertaste	2.59	2.37
afterthought	2.04	2.44
aftertime	2.19	1.29
aftertimes	2.2	1.29
afterward	2.25	3.35
afterwards	2.14	4.15
afterword	3.04	1.29
afterworld	1.41	1.59
again	2.0	5.9
against	1.8	5.3
age	2.86	4.9
aged	3.14	3.56
agedness	3.29	1.29
ageism	1.88	2.41
ageless	2.03	2.5
agelessness	1.48	1.29
agency	3.87	4.29
agenda	2.66	3.87
agent	3.61	5.01
aggravate	2.26	2.87
aggravated	2.61	3.11
aggravating	1.86	2.69
aggravatingly	1.96	1.29
aggravation	1.53	3.07
aggravator	2.72	1.29
aggregate	2.14	2.33
aggregately	1.69	1.29
aggregation	2.16	1.77
aggregative	2.07	1.29
aggregator	2.3	1.29
aggression	2.68	3.45
aggressive	2.54	3.9
aggressively	2.25	2.85
aggressiveness	2.59	2.61
aggressor	3.29	2.77
aggrieve	1.71	1.29
aggrieved	2.12	2.33
aggrievedly	1.65	1.29
aghast	1.96	2.2
agile	2.31	2.61
agility	2.38	2.67
aging	2.88	3.41
agitate	2.93	2.65
agitated	2.57	3.4
agitatedly	1.89	1.29
agitation	2.33	2.71
agitator	3.28	2.37
